index,freq_hz,real,imag
          0,0.00,          0,        -15
          1,23.44,        -12,        -19
          2,46.88,        -42,        -51
          3,70.31,       -519,       -577
          4,93.75,       1597,       1770
          5,117.19,      -1166,      -1300
          6,140.62,        113,        124
          7,164.06,         23,         22
          8,187.50,         10,          5
          9,210.94,          9,         -3
         10,234.38,         20,        -14
         11,257.81,         94,        -69
         12,281.25,      -1314,        955
         13,304.69,       1968,      -1432
         14,328.12,       -720,        517
         15,351.56,        -48,         29
         16,375.00,        -16,          4
         17,398.44,        -11,         -5
         18,421.88,        -14,        -17
         19,445.31,        -37,        -58
         20,468.75,       -336,       -576
         21,492.19,       1161,       2012
         22,515.62,       -931,      -1613
         23,539.06,        114,        201
         24,562.50,         19,         36
         25,585.94,          6,         12
         26,609.38,          2,          5
         27,632.81,          0,          2
         28,656.25,         -1,          1
         29,679.69,         -1,          0
         30,703.12,         -1,          0
         31,726.56,         -1,         -1
         32,750.00,         -1,          0
         33,773.44,         -1,          0
         34,796.88,         -1,         -1
         35,820.31,         -1,         -1
         36,843.75,         -1,         -1
         37,867.19,         -2,         -1
         38,890.62,         -2,         -1
         39,914.06,         -1,         -1
         40,937.50,         -1,         -1
         41,960.94,         -1,         -1
         42,984.38,         -1,         -1
         43,1007.81,         -2,         -1
         44,1031.25,         -1,         -1
         45,1054.69,         -2,         -1
         46,1078.12,         -1,         -1
         47,1101.56,         -1,         -1
         48,1125.00,         -1,         -1
         49,1148.44,         -2,         -1
         50,1171.88,         -1,         -1
         51,1195.31,         -2,         -1
         52,1218.75,         -2,         -1
         53,1242.19,         -2,         -1
         54,1265.62,         -2,         -1
         55,1289.06,         -2,         -1
         56,1312.50,         -2,         -1
         57,1335.94,         -2,         -1
         58,1359.38,         -1,         -1
         59,1382.81,         -2,         -1
         60,1406.25,         -2,         -1
         61,1429.69,         -2,         -1
         62,1453.12,         -2,         -1
         63,1476.56,         -2,         -1
         64,1500.00,         -1,         -1
         65,1523.44,          0,          0
         66,1546.88,         -1,         -1
         67,1570.31,         -1,          0
         68,1593.75,          0,          0
         69,1617.19,          0,          0
         70,1640.62,         -1,          0
         71,1664.06,          0,          0
         72,1687.50,          0,          0
         73,1710.94,         -1,          0
         74,1734.38,         -1,          0
         75,1757.81,         -1,         -1
