sample_n,real,imag
          0,      15360,          0
          1,      15360,      -1024
          2,      15360,      -1024
          3,      15360,      -1024
          4,      15360,      -1024
          5,      15360,      -1024
          6,      15360,      -1024
          7,      15360,      -1024
          8,      15360,      -1024
          9,      15360,      -1024
         10,      14336,      -1024
         11,      14336,      -1024
         12,      14336,      -1024
         13,      14336,      -1024
         14,      14336,      -1024
         15,      13312,      -1024
         16,      13312,      -1024
         17,      13312,      -1024
         18,      13312,      -1024
         19,      13312,      -1024
         20,      12288,      -1024
         21,      12288,      -1024
         22,      12288,      -1024
         23,      11264,      -1024
         24,      11264,      -1024
         25,      11264,      -1024
         26,      10240,      -1024
         27,      10240,      -1024
         28,      10240,      -1024
         29,       9216,      -1024
         30,       9216,      -1024
         31,       9216,      -1024
         32,       8192,      -1024
         33,       8192,          0
         34,       7168,          0
         35,       7168,      -1024
         36,       6144,      -1024
         37,       6144,      -1024
         38,       6144,      -1024
         39,       5120,      -1024
         40,       5120,      -1024
         41,       4096,      -1024
         42,       4096,      -1024
         43,       3072,      -1024
         44,       3072,      -1024
         45,       2048,      -1024
         46,       2048,      -1024
         47,       1024,      -1024
         48,       1024,      -1024
         49,       1024,      -1024
         50,          0,      -1024
         51,          0,      -1024
         52,      -1024,      -1024
         53,      -1024,      -1024
         54,      -2048,      -1024
         55,      -2048,      -1024
         56,      -3072,      -1024
         57,      -3072,      -1024
         58,      -4096,      -1024
         59,      -4096,      -1024
         60,      -5120,      -1024
         61,      -5120,      -1024
         62,      -6144,          0
         63,      -6144,      -1024
         64,      -6144,      -1024
         65,      -7168,      -1024
         66,      -7168,          0
         67,      -8192,          0
         68,      -8192,      -1024
         69,      -9216,          0
         70,      -9216,          0
         71,      -9216,      -1024
         72,     -10240,          0
         73,     -10240,      -1024
         74,     -11264,      -1024
         75,     -11264,      -1024
         76,     -11264,          0
         77,     -12288,      -1024
         78,     -12288,      -1024
         79,     -12288,          0
         80,     -13312,      -1024
         81,     -13312,          0
         82,     -13312,      -1024
         83,     -13312,      -1024
         84,     -14336,      -1024
         85,     -14336,      -1024
         86,     -14336,      -1024
         87,     -14336,          0
         88,     -15360,      -1024
         89,     -15360,      -1024
         90,     -15360,      -1024
         91,     -15360,      -1024
         92,     -15360,      -1024
         93,     -16384,      -1024
         94,     -16384,          0
         95,     -16384,          0
         96,     -16384,      -1024
         97,     -16384,          0
         98,     -16384,          0
         99,     -16384,      -1024
        100,     -16384,          0
        101,     -16384,      -1024
        102,     -16384,      -1024
        103,     -16384,          0
        104,     -16384,      -1024
        105,     -16384,          0
        106,     -16384,          0
        107,     -16384,          0
        108,     -16384,          0
        109,     -16384,      -1024
        110,     -16384,      -1024
        111,     -16384,      -1024
        112,     -16384,      -1024
        113,     -15360,          0
        114,     -15360,          0
        115,     -15360,      -1024
        116,     -15360,      -1024
        117,     -15360,      -1024
        118,     -14336,          0
        119,     -14336,          0
        120,     -14336,      -1024
        121,     -14336,          0
        122,     -13312,          0
        123,     -13312,      -1024
        124,     -13312,      -1024
        125,     -13312,      -1024
        126,     -12288,      -1024
        127,     -12288,          0
        128,     -12288,          0
        129,     -11264,          0
        130,     -11264,          0
        131,     -11264,          0
        132,     -10240,          0
        133,     -10240,          0
        134,      -9216,      -1024
        135,      -9216,      -1024
        136,      -9216,      -1024
        137,      -8192,      -1024
        138,      -8192,          0
        139,      -7168,          0
        140,      -7168,          0
        141,      -7168,      -1024
        142,      -6144,          0
        143,      -5120,          0
        144,      -5120,      -1024
        145,      -5120,      -1024
        146,      -4096,      -1024
        147,      -4096,      -1024
        148,      -3072,          0
        149,      -3072,          0
        150,      -2048,          0
        151,      -2048,          0
        152,      -1024,          0
        153,      -1024,          0
        154,          0,          0
        155,          0,      -1024
        156,       1024,          0
        157,       1024,          0
        158,       2048,          0
        159,       2048,          0
        160,       3072,          0
        161,       3072,      -1024
        162,       4096,      -1024
        163,       4096,          0
        164,       4096,          0
        165,       5120,          0
        166,       5120,      -1024
        167,       6144,          0
        168,       6144,          0
        169,       7168,      -1024
        170,       7168,          0
        171,       7168,      -1024
        172,       8192,          0
        173,       8192,          0
        174,       9216,          0
        175,       9216,          0
        176,       9216,      -1024
        177,      10240,      -1024
        178,      10240,      -1024
        179,      10240,      -1024
        180,      11264,          0
        181,      11264,      -1024
        182,      12288,      -1024
        183,      12288,          0
        184,      12288,          0
        185,      12288,          0
        186,      13312,      -1024
        187,      13312,          0
        188,      13312,      -1024
        189,      13312,      -1024
        190,      14336,      -1024
        191,      14336,          0
        192,      14336,          0
        193,      14336,      -1024
        194,      14336,          0
        195,      14336,      -1024
        196,      15360,      -1024
        197,      15360,      -1024
        198,      15360,      -1024
        199,      15360,      -1024
        200,      15360,          0
        201,      15360,          0
        202,      15360,          0
        203,      15360,      -1024
        204,      15360,          0
        205,      15360,          0
        206,      15360,      -1024
        207,      15360,      -1024
        208,      15360,          0
        209,      15360,      -1024
        210,      15360,      -1024
        211,      15360,      -1024
        212,      15360,      -1024
        213,      15360,      -1024
        214,      14336,          0
        215,      14336,      -1024
        216,      14336,      -1024
        217,      14336,          0
        218,      14336,          0
        219,      14336,      -1024
        220,      13312,      -1024
        221,      13312,      -1024
        222,      13312,      -1024
        223,      13312,      -1024
        224,      12288,          0
        225,      12288,      -1024
        226,      12288,      -1024
        227,      12288,          0
        228,      11264,      -1024
        229,      11264,      -1024
        230,      10240,          0
        231,      10240,      -1024
        232,      10240,          0
        233,      10240,      -1024
        234,       9216,          0
        235,       9216,      -1024
        236,       8192,      -1024
        237,       8192,          0
        238,       8192,      -1024
        239,       7168,          0
        240,       7168,      -1024
        241,       6144,          0
        242,       6144,      -1024
        243,       6144,      -1024
        244,       5120,          0
        245,       4096,          0
        246,       4096,          0
        247,       4096,      -1024
        248,       3072,      -1024
        249,       3072,          0
        250,       2048,      -1024
        251,       2048,      -1024
        252,       1024,      -1024
        253,       1024,          0
        254,          0,      -1024
        255,          0,      -1024
        256,          0,          0
        257,      -1024,          0
        258,      -1024,          0
        259,      -2048,          0
        260,      -2048,          0
        261,      -3072,          0
        262,      -3072,          0
        263,      -4096,          0
        264,      -4096,          0
        265,      -5120,          0
        266,      -5120,          0
        267,      -6144,          0
        268,      -6144,          0
        269,      -7168,          0
        270,      -7168,          0
        271,      -7168,          0
        272,      -8192,          0
        273,      -8192,          0
        274,      -9216,          0
        275,      -9216,          0
        276,      -9216,          0
        277,     -10240,          0
        278,     -10240,          0
        279,     -11264,          0
        280,     -11264,          0
        281,     -11264,          0
        282,     -12288,          0
        283,     -12288,          0
        284,     -12288,          0
        285,     -13312,          0
        286,     -13312,          0
        287,     -13312,          0
        288,     -13312,          0
        289,     -14336,          0
        290,     -14336,          0
        291,     -14336,          0
        292,     -14336,          0
        293,     -15360,          0
        294,     -15360,          0
        295,     -15360,          0
        296,     -15360,          0
        297,     -15360,          0
        298,     -15360,          0
        299,     -16384,          0
        300,     -16384,          0
        301,     -16384,          0
        302,     -16384,          0
        303,     -16384,          0
        304,     -16384,          0
        305,     -16384,          0
        306,     -16384,          0
        307,     -16384,          0
        308,     -16384,          0
        309,     -16384,          0
        310,     -16384,          0
        311,     -16384,          0
        312,     -16384,          0
        313,     -16384,          0
        314,     -16384,          0
        315,     -16384,          0
        316,     -16384,          0
        317,     -15360,          0
        318,     -15360,          0
        319,     -15360,          0
        320,     -15360,          0
        321,     -15360,          0
        322,     -14336,          0
        323,     -14336,          0
        324,     -14336,          0
        325,     -14336,          0
        326,     -13312,          0
        327,     -13312,          0
        328,     -13312,          0
        329,     -13312,          0
        330,     -12288,          0
        331,     -12288,          0
        332,     -12288,          0
        333,     -11264,          0
        334,     -11264,          0
        335,     -11264,          0
        336,     -10240,          0
        337,     -10240,          0
        338,     -10240,          0
        339,      -9216,          0
        340,      -9216,          0
        341,      -8192,          0
        342,      -8192,          0
        343,      -7168,          0
        344,      -7168,          0
        345,      -7168,          0
        346,      -6144,          0
        347,      -6144,          0
        348,      -5120,          0
        349,      -5120,          0
        350,      -4096,          0
        351,      -4096,          0
        352,      -3072,          0
        353,      -3072,          0
        354,      -2048,          0
        355,      -2048,          0
        356,      -1024,          0
        357,      -1024,          0
        358,      -1024,          0
        359,          0,          0
        360,          0,          0
        361,       1024,          0
        362,       1024,          0
        363,       2048,          0
        364,       2048,          0
        365,       2048,          0
        366,       3072,          0
        367,       3072,          0
        368,       4096,          0
        369,       4096,          0
        370,       5120,          0
        371,       5120,          0
        372,       6144,          0
        373,       6144,          0
        374,       7168,          0
        375,       7168,          0
        376,       7168,          0
        377,       8192,          0
        378,       8192,          0
        379,       9216,          0
        380,       9216,          0
        381,       9216,          0
        382,      10240,          0
        383,      10240,          0
        384,      10240,          0
        385,      11264,          0
        386,      11264,          0
        387,      11264,          0
        388,      12288,          0
        389,      12288,          0
        390,      12288,          0
        391,      12288,          0
        392,      13312,          0
        393,      13312,          0
        394,      13312,          0
        395,      13312,          0
        396,      14336,          0
        397,      14336,          0
        398,      14336,          0
        399,      14336,          0
        400,      14336,          0
        401,      14336,          0
        402,      14336,          0
        403,      14336,          0
        404,      15360,          0
        405,      15360,          0
        406,      15360,          0
        407,      15360,          0
        408,      15360,          0
        409,      15360,          0
        410,      15360,          0
        411,      15360,          0
        412,      15360,          0
        413,      15360,          0
        414,      15360,          0
        415,      15360,          0
        416,      15360,          0
        417,      14336,          0
        418,      14336,          0
        419,      14336,          0
        420,      14336,          0
        421,      14336,          0
        422,      14336,          0
        423,      14336,          0
        424,      13312,          0
        425,      13312,          0
        426,      13312,          0
        427,      13312,          0
        428,      12288,          0
        429,      12288,          0
        430,      12288,          0
        431,      12288,          0
        432,      11264,          0
        433,      11264,          0
        434,      11264,          0
        435,      10240,          0
        436,      10240,          0
        437,      10240,          0
        438,       9216,          0
        439,       9216,          0
        440,       9216,          0
        441,       8192,          0
        442,       8192,          0
        443,       7168,          0
        444,       7168,          0
        445,       6144,          0
        446,       6144,          0
        447,       6144,          0
        448,       5120,          0
        449,       5120,          0
        450,       4096,          0
